,tournament,stage,home,score,away,url,first_shooter,First_team_wins
3,Champions league,Final,Bayern Munich,3:4 PSO,Chelsea,https://www.transfermarkt.com/spielbericht/index/spielbericht/2208062,Bayern Munich,0
5,Champions league,Final,Man Utd,6:5 PSO,Chelsea,https://www.transfermarkt.com/spielbericht/index/spielbericht/909764,Man Utd,1
7,Champions league,Final,AC Milan,2:3 PSO,Liverpool,https://www.transfermarkt.com/spielbericht/index/spielbericht/31195,AC Milan,0
8,Champions league,Final,Juventus,2:3 PSO,Milan,https://www.transfermarkt.com/spielbericht/index/spielbericht/985129,Juventus,0
9,Champions league,Final,Juventus,4:2 PSO,Ajax,https://www.transfermarkt.com/spielbericht/index/spielbericht/1067646,Ajax,0
12,Champions league,Final,PSV Eindhoven,6:5 PSO,Benfica,https://www.transfermarkt.com/spielbericht/index/spielbericht/1020182,PSV Eindhoven,1
13,Champions league,Final,Steaua Bucharest,2:0 PSO,Barcelona,https://www.transfermarkt.com/spielbericht/index/spielbericht/1020440,Steaua Bucharest,1
15,Champions league,Final,Liverpool,4:2 PSO,AS Roma,https://www.transfermarkt.com/spielbericht/index/spielbericht/1020761,Liverpool,1
21,Champions league,Final,Real Madrid,5:3 PSO,Atlético Madrid,https://www.transfermarkt.com/spielbericht/index/spielbericht/2690027,Real Madrid,1
28,Champions league,Final,Bayern Munich,5:4 PSO,Valencia,https://www.transfermarkt.com/spielbericht/index/spielbericht/990248,Bayern Munich,1
29,Champions league,Final,Red Star,5:3 PSO,Marseille,https://www.transfermarkt.com/spielbericht/index/spielbericht/1081866,Red Star,1
1,Europa league,Final,Sevilla FC,4:1 PSO,AS Roma,https://www.transfermarkt.com/spielbericht/index/spielbericht/4078394,Sevilla FC,1
3,Europa league,Final,E. Frankfurt,5:4 PSO,Rangers,https://www.transfermarkt.com/spielbericht/index/spielbericht/3813154,Rangers,0
4,Europa league,Final,Villarreal,11:10 PSO,Man Utd,https://www.transfermarkt.com/spielbericht/index/spielbericht/3563783,Villarreal,1
14,Europa league,Final,Espanyol,1:3 PSO,Sevilla FC,https://www.transfermarkt.com/spielbericht/index/spielbericht/68268,Sevilla FC,1
22,Europa league,Final,Galatasaray,4:1 PSO,Arsenal,https://www.transfermarkt.com/spielbericht/index/spielbericht/938698,Galatasaray,1
35,Europa league,Final,B. Leverkusen,3:2 PSO,Español,https://www.transfermarkt.com/spielbericht/index/spielbericht/986864,Español,0
41,Europa league,Final,Tottenham,4:3 PSO,RSC Anderlecht,https://www.transfermarkt.com/spielbericht/index/spielbericht/2265988,Tottenham,1
58,Europa league,Final,Sevilla FC,4:2 PSO,Benfica,https://www.transfermarkt.com/spielbericht/index/spielbericht/2456992,Benfica,0
77,Europa league,Final,Inter,1:4 PSO,FC Schalke 04,https://www.transfermarkt.com/spielbericht/index/spielbericht/988732,FC Schalke 04,1
0,Community Shield,Final,Man City,5:4 PSO,Sevilla FC,https://www.transfermarkt.com/spielbericht/index/spielbericht/4087203,Man City,1
1,Community Shield,Final,Liverpool,5:4 PSO,Chelsea,https://www.transfermarkt.com/spielbericht/index/spielbericht/3192360,Liverpool,1
2,Community Shield,Final,Chelsea,6:5 PSO,Villarreal,https://www.transfermarkt.com/spielbericht/index/spielbericht/3639329,Chelsea,1
3,Community Shield,Final,Bayern Munich,5:4 PSO,Chelsea,https://www.transfermarkt.com/spielbericht/index/spielbericht/2366616,Bayern Munich,1
0,World cup,Second Round,Wydad AC,3:5 PSO,Al-Hilal,https://www.transfermarkt.com/spielbericht/index/spielbericht/4018742,Al-Hilal,1
1,World cup,Third Place Play-Off,Monterrey,4:3 PSO,Al-Hilal,https://www.transfermarkt.com/spielbericht/index/spielbericht/3293375,Al-Hilal,0
2,World cup,Semi-Finals,River Plate,4:5 PSO,Al-Ain,https://www.transfermarkt.com/spielbericht/index/spielbericht/3136248,Al-Ain,1
3,World cup,Third Place Play-Off,América,3:4 PSO,Atl. Nacional,https://www.transfermarkt.com/spielbericht/index/spielbericht/2806803,América,0
4,World cup,5th place match,ES Sétif,5:4 PSO,Western Sydney,https://www.transfermarkt.com/spielbericht/index/spielbericht/2518319,Western Sydney,0
5,World cup,Third Place Play-Off,Kashiwa Reysol,3:5 PSO,Al-Sadd,https://www.transfermarkt.com/spielbericht/index/spielbericht/1174207,Al-Sadd,1
6,World cup,5th place match,Pachuca,4:2 PSO,Al-Wahda,https://www.transfermarkt.com/spielbericht/index/spielbericht/1069078,Pachuca,1
7,World cup,Third Place Play-Off,ES Sahel,2:4 PSO,Urawa Reds,https://www.transfermarkt.com/spielbericht/index/spielbericht/991937,Urawa Reds,1
8,World cup,Final,Vasco da Gama,3:4 PSO,Corinthians,https://www.transfermarkt.com/spielbericht/index/spielbericht/2301396,Corinthians,1
9,World cup,Third Place Play-Off,Ahly SC,3:2 PSO,Palmeiras,https://www.transfermarkt.com/spielbericht/index/spielbericht/3519510,Ahly SC,1
10,World cup,5th place match,Esperance,6:5 PSO,Chivas,https://www.transfermarkt.com/spielbericht/index/spielbericht/3136249,Chivas,0
11,World cup,Qualifying Round,Al-Ain,4:3 PSO,Team Wellington,https://www.transfermarkt.com/spielbericht/index/spielbericht/3126074,Al-Ain,1
12,World cup,Third Place Play-Off,CD Cruz Azul,2:4 PSO,Auckland City,https://www.transfermarkt.com/spielbericht/index/spielbericht/2518506,Auckland City,1
13,World cup,First Round,Moghreb Tétouan,3:4 PSO,Auckland City,https://www.transfermarkt.com/spielbericht/index/spielbericht/2511580,Auckland City,1
14,World cup,Quarter-Finals,Kashiwa Reysol,4:3 PSO,Monterrey,https://www.transfermarkt.com/spielbericht/index/spielbericht/1170429,Monterrey,0
15,World cup,Third Place Play-Off,Pohang Steelers,4:3 PSO,Atlante,https://www.transfermarkt.com/spielbericht/index/spielbericht/988665,Atlante,0
16,World cup,Third Place Play-Off,Real Madrid,3:4 PSO,Necaxa,https://www.transfermarkt.com/spielbericht/index/spielbericht/2301395,Real Madrid,0
0,Euro,Quarter-Finals,England,5:3 PSO,Switzerland,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359338,England,1
